id	skill_group_id	mission_phase_type	is_repetable	case_leader_member	case_sub_member	case_join_member	case_member_num_greater_equal	case_member_num_less_equal	case_camp_action_type_member	case_camp_action_type	case_friendship_point_member	case_friendship_point_greater_equal	case_health_greater_equal	case_health_less_equal	case_motivation_greater_equal	case_motivation_less_equal	case_condition	case_camping_area	case_month	case_season	case_weather	case_wind	case_chance_of_rain_greater_equal	case_chance_of_rain_less_equal	case_temperature_greater_equal	case_temperature_less_equal	case_location	case_keyword1	case_keyword2	case_keyword3	case_costume_id	case_support_card_id	case_gear_id	case_mission_type_ids
7202121	7202121	2																									3							1
7202131	7202131	2																		1														1
7202141	7202141	2																									1							1
7202151	7202151	2																									4							1
7202161	7202161	2																									2							1
7202171	7202171	2																									5							1
7202181	7202181	2																		2														1
7202191	7202191	2																		4														1
7202201	7202201	2																																1
7202211	7202211	2																		3														1
7202221	7202221	2																									3							1
7202231	7202231	2																		1														1
7202241	7202241	2																									1							1
7202251	7202251	2																									4							1
7202261	7202261	2																									2							1
7202271	7202271	2																									5							1
7202281	7202281	2																		2														1
7202291	7202291	2																		4														1
7202301	7202301	2																																1
7202311	7202311	2																		3														1
7202321	7202321	2																									3							1
7202331	7202331	2																		1														1
7202341	7202341	2																									1							1
7202351	7202351	2																									4							1
7202361	7202361	2																									2							1
7202371	7202371	2																									5							1
7202381	7202381	2																		2														1
7202391	7202391	2																		4														1
7203101	7203101	2																		2														2
7203111	7203111	2																																2
7203201	7203201	2																		2														2
7203211	7203211	2																		2														2
7300101	7300101	1		2																														3
7300201	7300201	3		3																														2
7300301	7300301	1		1																														3
7300401	7300401	1		5																														3
7300501	7300501	1																									1							3
7300601	7300601	1																									2							3
7300701	7300701	1																3																3
7300801	7300801	3		2																														2
7300901	7300901	3		3																														2
7301001	7301001	1																																3
7301011	7301011	1																		3														3
7301021	7301021	1																									3							3
7301031	7301031	1																		1														3
7301041	7301041	1																									1							3
7301051	7301051	1																									4							3
7301061	7301061	1																									2							3
7301071	7301071	1																									5							3
7301081	7301081	1																		2														3
7301091	7301091	1																		4														3
7301101	7301101	2																																1
7301201	7301201	3																																2
7301291	7301291	3																		4														2
7301301	7301301	1																																3
7301311	7301311	1																		3														3
7301321	7301321	1																									3							3
7301331	7301331	1																		1														3
7301341	7301341	1																									1							3
7301351	7301351	1																									4							3
7301361	7301361	1																									2							3
7301371	7301371	1																									5							3
7301381	7301381	1																		2														3
7301391	7301391	1																		4														3
7301401	7301401	1																																3
7301411	7301411	1																		3														3
7301421	7301421	1																									3							3
7301431	7301431	1																		1														3
7301441	7301441	1																									1							3
7301451	7301451	1																									4							3
7301501	7301501	1																		3														3
7301601	7301601	3																		2														2
7301701	7301701	1																		4														3
7301801	7301801	1																		2														3
7302101	7302101	1																		2														3
7302111	7302111	1																		2														3
7400101	7400101	1		2																														3
7400201	7400201	2																3																2
7400501	7400501	2		2																														3
7400601	7400601	3		1																														2
7400611	7400611	3																		3														2
7400621	7400621	3																									3							2
7400631	7400631	3																		1														2
7400641	7400641	3																									1							2
7400651	7400651	3																									4							2
7400661	7400661	3																									2							2
7400671	7400671	3																									5							2
7400681	7400681	3																		2														2
7400691	7400691	3																		4														2
7400701	7400701	2		2																														3
7400801	7400801	3		3																														2
7400901	7400901	2		3																														2
7401001	7401001	1		2																														3
7401101	7401101	1																2																3
7401201	7401201	1		3																														3
7401301	7401301	1																									2							3
7401401	7401401	2		2																														2
7401501	7401501	2																									1							2
7401601	7401601	2																									1							2
7401701	7401701	1																									1							3
7401791	7401791	1																		4														3
7401801	7401801	1																									1							3
7401901	7401901	1		3																														3
7402001	7402001	2																3																3
7402101	7402101	3																									2							2
7402201	7402201	3		3																														2
7402301	7402301	2																2																3
7402311	7402311	2																		3														3
7402321	7402321	2																									3							3
7402331	7402331	2																		1														3
7402341	7402341	2																									1							3
7402351	7402351	2																									4							3
7402401	7402401	2																1																3
7402411	7402411	2																		3														3
7402421	7402421	2																									3							3
7402431	7402431	2																		1														3
7402441	7402441	2																									1							3
7402451	7402451	2																									4							3
7402501	7402501	2																																3
7402511	7402511	2																		3														3
7402521	7402521	2																									3							3
7402531	7402531	2																		1														3
7402541	7402541	2																									1							3
7402551	7402551	2																									4							3
7402601	7402601	1																																3
7402701	7402701	1																																3
7402801	7402801	1																																3
7403001	7403001	1																																3
7403101	7403101	1																																3
7403201	7403201	2																																2
7403301	7403301	1																																3
7403401	7403401	2																																2
7403501	7403501	1																																3
7403601	7403601	2																																2
7403701	7403701	1																																3
7403801	7403801	2																																2
7403901	7403901	1																																3
7404001	7404001	1																																3
7404101	7404101	1																																3
7404201	7404201	1																																3
7404301	7404301	1																																3
7404401	7404401	2																																3
7404501	7404501	2																																3
7404511	7404511	2																		3														3
7404521	7404521	2																									3							3
7404531	7404531	2																		1														3
7404541	7404541	2																									1							3
7404551	7404551	2																									4							3
7404601	7404601	3																																2
7404611	7404611	3																		3														2
7404621	7404621	3																									3							2
7404631	7404631	3																		1														2
7404641	7404641	3																									1							2
7404651	7404651	3																									4							2
7404801	7404801	2																																3
7404901	7404901	3																																2
7404911	7404911	3																		3														2
7404921	7404921	3																									3							2
7404931	7404931	3																		1														2
7404941	7404941	3																									1							2
7404951	7404951	3																									4							2
7405101	7405101	2																																3
7405201	7405201	2																																3
7405211	7405211	2																		3														3
7405221	7405221	2																									3							3
7405231	7405231	2																		1														3
7405241	7405241	2																									1							3
7405251	7405251	2																									4							3
7405301	7405301	3																																2
7405311	7405311	3																		3														2
7405321	7405321	3																									3							2
7405331	7405331	3																		1														2
7405341	7405341	3																									1							2
7405351	7405351	3																									4							2
7405401	7405401	2																																3
7405411	7405411	2																		3														3
7405421	7405421	2																									3							3
7405431	7405431	2																		1														3
7405441	7405441	2																									1							3
7405451	7405451	2																									4							3
7405501	7405501	3																		3														2
7405601	7405601	3		1																														2
7500101	7500101	3		2																														1
7500201	7500201	3		1																														1
7500301	7500301	3		1																														1
7500401	7500401	3																									3							1
7500501	7500501	2																									1							2
7500601	7500601	2																									4							2
7501201	7501201	2		1																														2
7501301	7501301	3																																1
7501311	7501311	3																		3														1
7501321	7501321	3																									3							1
7501331	7501331	3																		1														1
7501341	7501341	3																									1							1
7501351	7501351	3																									4							1
7501401	7501401	3																																1
7501411	7501411	3																		3														1
7501421	7501421	3																									3							1
7501431	7501431	3																		1														1
7501441	7501441	3																									1							1
7501451	7501451	3																									4							1
7501501	7501501	3																																1
7501511	7501511	3																		3														1
7501521	7501521	3																									3							1
7501531	7501531	3																		1														1
7501541	7501541	3																									1							1
7501551	7501551	3																									4							1
7501601	7501601	3																																1
7501611	7501611	3																		3														1
7501621	7501621	3																									3							1
7501631	7501631	3																		1														1
7501641	7501641	3																									1							1
7501651	7501651	3																									4							1
7501701	7501701	3																																1
7501711	7501711	3																		3														1
7501721	7501721	3																									3							1
7501731	7501731	3																		1														1
7501741	7501741	3																									1							1
7501751	7501751	3																									4							1
7501801	7501801	2																																2
7501811	7501811	2																		3														2
7501821	7501821	2																									3							2
7501831	7501831	2																		1														2
7501841	7501841	2																									1							2
7501851	7501851	2																									4							2
7501901	7501901	2																																2
7501911	7501911	2																		3														2
7501921	7501921	2																									3							2
7501931	7501931	2																		1														2
7501941	7501941	2																									1							2
7501951	7501951	2																									4							2
7502001	7502001	2																									3							2
7502011	7502011	2																																2
7600101	7600101	1		2																														3
7600201	7600201	1																									2							3
7600301	7600301	1																2																3
7600401	7600401	1																3																3
7600501	7600501	2		1																														2
7600601	7600601	1																																3
7600701	7600701	1																																3
7600801	7600801	1																																3
7600901	7600901	1																																3
7601001	7601001	1																																3
7601101	7601101	1																																3
7601201	7601201	1																																3
7700101	7700101	1		2																														3
7700201	7700201	2																									1							2
7700301	7700301	2																									1							2
7700401	7700401	1		2																														3
7700501	7700501	2																																1
7700601	7700601	2																																1
7700701	7700701	3																																2
7700801	7700801	1																																3
7700901	7700901	1																																3
7701001	7701001	1																																3
7701101	7701101	1																																3
7701201	7701201	2																																1
7701301	7701301	1																																3
7701401	7701401	1																									5							1
7701501	7701501	1																4																1
7701601	7701601	2		3																														1
7701701	7701701	2		3																														1
7701801	7701801	2																									2							1
7701901	7701901	2																									1							3
7701911	7701911	2																									1							3
7800101	7800101	3		1																														2
7800201	7800201	3																									1							2
7800301	7800301	2		1																														1
7800501	7800501	2																																1
7800511	7800511	2																		3														1
7800521	7800521	2																									3							1
7800531	7800531	2																		1														1
7800541	7800541	2																									1							1
7800551	7800551	2																									4							1
7800561	7800561	2																									2							1
7800571	7800571	2																									5							1
7800581	7800581	2																		2														1
7800591	7800591	2																		4														1
7800601	7800601	2																																1
7800611	7800611	2																		3														1
7800621	7800621	2																									3							1
7800631	7800631	2																		1														1
7800641	7800641	2																									1							1
7800651	7800651	2																									4							1
7800661	7800661	2																									2							1
7800671	7800671	2																									5							1
7800681	7800681	2																		2														1
7800691	7800691	2																		4														1
7800701	7800701	2																																1
7800711	7800711	2																		3														1
7800721	7800721	2																									3							1
7800731	7800731	2																		1														1
7800741	7800741	2																									1							1
7800751	7800751	2																									4							1
7800761	7800761	2																									2							1
7800771	7800771	2																									5							1
7800781	7800781	2																		2														1
7800791	7800791	2																		4														1
7800801	7800801	2																																1
7800811	7800811	2																		3														1
7800821	7800821	2																									3							1
7800831	7800831	2																		1														1
7800841	7800841	2																									1							1
7800851	7800851	2																									4							1
7800861	7800861	2																									2							1
7800871	7800871	2																									5							1
7800881	7800881	2																		2														1
7800891	7800891	2																		4														1
7800901	7800901	2																																1
7800911	7800911	2																		3														1
7800921	7800921	2																									3							1
7800931	7800931	2																		1														1
7800941	7800941	2																									1							1
7800951	7800951	2																									4							1
7800961	7800961	2																									2							1
7800971	7800971	2																									5							1
7800981	7800981	2																		2														1
7800991	7800991	2																		4														1
7801001	7801001	2																																1
7801011	7801011	2																		3														1
7801021	7801021	2																									3							1
7801031	7801031	2																		1														1
7801041	7801041	2																									1							1
7801051	7801051	2																									4							1
7801061	7801061	2																									2							1
7801071	7801071	2																									5							1
7801081	7801081	2																		2														1
7801091	7801091	2																		4														1
7801101	7801101	3																																2
7801111	7801111	3																		3														2
7801121	7801121	3																									3							2
7801131	7801131	3																		1														2
7801141	7801141	3																									1							2
7801151	7801151	3																									4							2
7801161	7801161	3																									2							2
7801171	7801171	3																									5							2
7801181	7801181	3																		2														2
7801191	7801191	3																		4														2
7801201	7801201	3																																2
7801211	7801211	3																		3														2
7801221	7801221	3																									3							2
7801231	7801231	3																		1														2
7801241	7801241	3																									1							2
7801251	7801251	3																									4							2
7801261	7801261	3																									2							2
7801271	7801271	3																									5							2
7801281	7801281	3																		2														2
7801291	7801291	3																		4														2
7801401	7801401	1																		2														2
7850001	7850001	2																																3
7850011	7850011	2																		3														3
7850021	7850021	2																									3							3
7850031	7850031	2																		1														3
7850041	7850041	2																									1							3
7850051	7850051	2																									4							3
7850061	7850061	2																									2							3
7850071	7850071	2																									5							3
7850081	7850081	2																		2														3
7850091	7850091	2																		4														3
7850101	7850101	1																																1
7850111	7850111	1																		3														1
7850121	7850121	1																									3							1
7850131	7850131	1																		1														1
7850141	7850141	1																									1							1
7850151	7850151	1																									4							1
7850161	7850161	1																									2							1
7850171	7850171	1																									5							1
7850181	7850181	1																		2														1
7850191	7850191	1																		4														1
7850201	7850201	3																									2							2
7850301	7850301	3																									2							2
7850701	7850701	1																																3
7850711	7850711	1																																3
7850801	7850801	2																									1							1
7850811	7850811	2																									1							1
7850901	7850901	3																									1							1
7850911	7850911	3																									1							1
7900101	7900101	3																1																1
7900201	7900201	1																4																3
7900301	7900301	1																4																2
7900401	7900401	3																									1							2
7900501	7900501	1																									1							3
7900601	7900601	3		2																														1
7900701	7900701	3		2																														1
7900801	7900801	2		3																														3
7900901	7900901	2		3																														3
7901001	7901001	1		4																														2
7901101	7901101	2																									4							3
7901201	7901201	2																									4							3
7901301	7901301	1																									2							3
7901401	7901401	1																4																1
7901501	7901501	1																4																1
7901601	7901601	1																4																1
7901701	7901701	1		2																														1
7901801	7901801	1		1																														1
7901901	7901901	3		1																														2
7902001	7902001	3		3																														2
7902101	7902101	3		2																														2
7902201	7902201	1		2																														2
7902301	7902301	1																1																2
7902401	7902401	1																									3							2
7902501	7902501	1																									3							2
7902601	7902601	1		2																														2
7902701	7902701	1		1																														2
7902801	7902801	1		2																														2
7902901	7902901	1		1																														2
7903001	7903001	1																									2							2
7903101	7903101	1																									2							2
7903201	7903201	2		1																														3
7903301	7903301	1		2																														1
7903401	7903401	2																									4							2
7903501	7903501	1																									2							1
7903601	7903601	1																									5							1
7903701	7903701	1																									3							1
7903801	7903801	2		4																														2
7903901	7903901	2		1																														2
7904001	7904001	1		5																														1
7904101	7904101	1																1																1
7904201	7904201	3		1																														2
7904301	7904301	3		1																														2
7904401	7904401	1		5																														1
7904501	7904501	1		2																														2
7904601	7904601	3		5																														2
7907201	7907201	1																									4							2
7907301	7907301	1																																2
7907311	7907311	1																		3														2
7907321	7907321	1																									3							2
7907331	7907331	1																		1														2
7907341	7907341	1																									1							2
7907351	7907351	1																									4							2
7907361	7907361	1																									2							2
7907371	7907371	1																									5							2
7907381	7907381	1																		2														2
7907391	7907391	1																		4														2
7907501	7907501	3																																2
7907511	7907511	3																		3														2
7907521	7907521	3																									3							2
7907531	7907531	3																		1														2
7907541	7907541	3																									1							2
7907551	7907551	3																									4							2
7907561	7907561	3																									2							2
7907571	7907571	3																									5							2
7907581	7907581	3																		2														2
7907591	7907591	3																		4														2
7907601	7907601	3																																2
7907611	7907611	3																		3														2
7907621	7907621	3																									3							2
7907631	7907631	3																		1														2
7907641	7907641	3																									1							2
7907651	7907651	3																									4							2
7907661	7907661	3																									2							2
7907671	7907671	3																									5							2
7907681	7907681	3																		2														2
7907691	7907691	3																		4														2
7907701	7907701	3																																2
7907711	7907711	3																		3														2
7907721	7907721	3																									3							2
7907731	7907731	3																		1														2
7907741	7907741	3																									1							2
7907751	7907751	3																									4							2
7907761	7907761	3																									2							2
7907771	7907771	3																									5							2
7907781	7907781	3																		2														2
7907791	7907791	3																		4														2
7907801	7907801	3																																2
7907811	7907811	3																		3														2
7907821	7907821	3																									3							2
7907831	7907831	3																		1														2
7907841	7907841	3																									1							2
7907851	7907851	3																									4							2
7907861	7907861	3																									2							2
7907871	7907871	3																									5							2
7907881	7907881	3																		2														2
7907891	7907891	3																		4														2
7907901	7907901	3																																2
7907911	7907911	3																		3														2
7907921	7907921	3																									3							2
7907931	7907931	3																		1														2
7907941	7907941	3																									1							2
7907951	7907951	3																									4							2
7907961	7907961	3																									2							2
7907971	7907971	3																									5							2
7907981	7907981	3																		2														2
7907991	7907991	3																		4														2
7908001	7908001	3																																2
7908011	7908011	3																		3														2
7908021	7908021	3																									3							2
7908031	7908031	3																		1														2
7908041	7908041	3																									1							2
7908051	7908051	3																									4							2
7908061	7908061	3																									2							2
7908071	7908071	3																									5							2
7908081	7908081	3																		2														2
7908091	7908091	3																		4														2
7908101	7908101	1																									4							1
7908201	7908201	3																																2
7908211	7908211	3																		3														2
7908221	7908221	3																									3							2
7908231	7908231	3																		1														2
7908241	7908241	3																									1							2
7908251	7908251	3																									4							2
7908261	7908261	3																									2							2
7908271	7908271	3																									5							2
7908281	7908281	3																		2														2
7908291	7908291	3																		4														2
7908301	7908301	1																																3
7908311	7908311	1																		3														3
7908321	7908321	1																									3							3
7908331	7908331	1																		1														3
7908341	7908341	1																									1							3
7908351	7908351	1																									4							3
7908361	7908361	1																									2							3
7908371	7908371	1																									5							3
7908381	7908381	1																		2														3
7908391	7908391	1																		4														3
7908401	7908401	1																																1
7908411	7908411	1																		3														1
7908421	7908421	1																									3							1
7908431	7908431	1																		1														1
7908441	7908441	1																									1							1
7908451	7908451	1																									4							1
7908461	7908461	1																									2							1
7908471	7908471	1																									5							1
7908481	7908481	1																		2														1
7908491	7908491	1																		4														1
7908501	7908501	1																																1
7908511	7908511	1																		3														1
7908521	7908521	1																									3							1
7908531	7908531	1																		1														1
7908541	7908541	1																									1							1
7908551	7908551	1																									4							1
7908561	7908561	1																									2							1
7908571	7908571	1																									5							1
7908581	7908581	1																		2														1
7908591	7908591	1																		4														1
7908601	7908601	1																																1
7908611	7908611	1																		3														1
7908621	7908621	1																									3							1
7908631	7908631	1																		1														1
7908641	7908641	1																									1							1
7908651	7908651	1																									4							1
7908661	7908661	1																									2							1
7908671	7908671	1																									5							1
7908681	7908681	1																		2														1
7908691	7908691	1																		4														1
7908701	7908701	1																																1
7908711	7908711	1																		3														1
7908721	7908721	1																									3							1
7908731	7908731	1																		1														1
7908741	7908741	1																									1							1
7908751	7908751	1																									4							1
7908761	7908761	1																									2							1
7908771	7908771	1																									5							1
7908781	7908781	1																		2														1
7908791	7908791	1																		4														1
7908801	7908801	1																																1
7908811	7908811	1																		3														1
7908821	7908821	1																									3							1
7908831	7908831	1																		1														1
7908841	7908841	1																									1							1
7908851	7908851	1																									4							1
7908861	7908861	1																									2							1
7908871	7908871	1																									5							1
7908881	7908881	1																		2														1
7908891	7908891	1																		4														1
7908901	7908901	3																																3
7908911	7908911	3																		3														3
7908921	7908921	3																									3							3
7908931	7908931	3																		1														3
7908941	7908941	3																									1							3
7908951	7908951	3																									4							3
7908961	7908961	3																									2							3
7908971	7908971	3																									5							3
7908981	7908981	3																		2														3
7908991	7908991	3																		4														3
7909001	7909001	1																																1
7909011	7909011	1																		3														1
7909021	7909021	1																									3							1
7909031	7909031	1																		1														1
7909041	7909041	1																									1							1
7909051	7909051	1																									4							1
7909061	7909061	1																									2							1
7909071	7909071	1																									5							1
7909081	7909081	1																		2														1
7909091	7909091	1																		4														1
7909101	7909101	1																																1
7909111	7909111	1																		3														1
7909121	7909121	1																									3							1
7909131	7909131	1																		1														1
7909141	7909141	1																									1							1
7909151	7909151	1																									4							1
7909161	7909161	1																									2							1
7909171	7909171	1																									5							1
7909181	7909181	1																		2														1
7909191	7909191	1																		4														1
7909401	7909401	3																																2
7909411	7909411	3																		3														2
7909421	7909421	3																									3							2
7909431	7909431	3																		1														2
7909441	7909441	3																									1							2
7909451	7909451	3																									4							2
7909461	7909461	3																									2							2
7909471	7909471	3																									5							2
7909481	7909481	3																		2														2
7909491	7909491	3																		4														2
7909501	7909501	3																																2
7909511	7909511	3																		3														2
7909521	7909521	3																									3							2
7909531	7909531	3																		1														2
7909541	7909541	3																									1							2
7909551	7909551	3																									4							2
7909561	7909561	3																									2							2
7909571	7909571	3																									5							2
7909581	7909581	3																		2														2
7909591	7909591	3																		4														2
7909601	7909601	3																																2
7909611	7909611	3																		3														2
7909621	7909621	3																									3							2
7909631	7909631	3																		1														2
7909641	7909641	3																									1							2
7909651	7909651	3																									4							2
7909661	7909661	3																									2							2
7909671	7909671	3																									5							2
7909681	7909681	3																		2														2
7909691	7909691	3																		4														2
7909701	7909701	3																																2
7909711	7909711	3																		3														2
7909721	7909721	3																									3							2
7909731	7909731	3																		1														2
7909741	7909741	3																									1							2
7909751	7909751	3																									4							2
7909761	7909761	3																									2							2
7909771	7909771	3																									5							2
7909781	7909781	3																		2														2
7909791	7909791	3																		4														2
7909801	7909801	1																																3
7909811	7909811	1																		3														3
7909821	7909821	1																									3							3
7909831	7909831	1																		1														3
7909841	7909841	1																									1							3
7909851	7909851	1																									4							3
7909861	7909861	1																									2							3
7909871	7909871	1																									5							3
7909881	7909881	1																		2														3
7909891	7909891	1																		4														3
7909901	7909901	3																																2
7909911	7909911	3																		3														2
7909921	7909921	3																									3							2
7909931	7909931	3																		1														2
7909941	7909941	3																									1							2
7909951	7909951	3																									4							2
7909961	7909961	3																									2							2
7909971	7909971	3																									5							2
7909981	7909981	3																		2														2
7909991	7909991	3																		4														2
7910001	7910001	1																																3
7910011	7910011	1																		3														3
7910021	7910021	1																									3							3
7910031	7910031	1																		1														3
7910041	7910041	1																									1							3
7910051	7910051	1																									4							3
7910061	7910061	1																									2							3
7910071	7910071	1																									5							3
7910081	7910081	1																		2														3
7910091	7910091	1																		4														3
7910101	7910101	3																																2
7910111	7910111	3																		3														2
7910121	7910121	3																									3							2
7910131	7910131	3																		1														2
7910141	7910141	3																									1							2
7910151	7910151	3																									4							2
7910161	7910161	3																									2							2
7910171	7910171	3																									5							2
7910181	7910181	3																		2														2
7910191	7910191	3																		4														2
7910201	7910201	1																																3
7910211	7910211	1																		3														3
7910221	7910221	1																									3							3
7910231	7910231	1																		1														3
7910241	7910241	1																									1							3
7910251	7910251	1																									4							3
7910261	7910261	1																									2							3
7910271	7910271	1																									5							3
7910281	7910281	1																		2														3
7910291	7910291	1																		4														3
7910901	7910901	2																									4							3
7913601	7913601	2		3																														2
7913701	7913701	2		4																														2
7913801	7913801	1		3																														2
7913901	7913901	1																									3							2
7914001	7914001	1																									2							1
7915401	7915401	3		1																														1
7915411	7915411	3		2																														1
7915421	7915421	3		3																														1
7915431	7915431	3		4																														1
7915441	7915441	3		5																														1
7915451	7915451	3		3																														1
7915461	7915461	3		4																														1
7915471	7915471	3		5																														1
7916701	7916701	1																									2							1
7916711	7916711	1																																1
7917101	7917101	1																		2														2
7917201	7917201	2																		2														2
7917211	7917211	2																																2
7917301	7917301	3																		2														2
7917401	7917401	1																		2														2
7917411	7917411	1																																2
7917601	7917601	1																																2
7917611	7917611	1																																2
7918101	7918101	2																		2														2
7918111	7918111	2																		2														2
7918301	7918301	3																		2														3
7918311	7918311	3																		2														3
7918501	7918501	2																		2														2
7918511	7918511	2																		2														2
7918601	7918601	1																									1							3
7918611	7918611	1																									1							3
7918701	7918701	2																									1							1
7918711	7918711	2																									1							1
7918801	7918801	1																									1							2
7918811	7918811	1																									1							2
9010101	9010101	1																																1
9010102	9010102	1																																1
9010103	9010103	1																																1
9010104	9010104	1																																1
9010105	9010105	2																																1
9010106	9010106	2																																1
9010107	9010107	2																																1
9010108	9010108	2																																1
9010109	9010109	3																																1
9010110	9010110	3																																1
9010111	9010111	3																																1
9010112	9010112	3																																1
9010113	9010113	1																																2
9010114	9010114	1																																2
9010115	9010115	1																																2
9010116	9010116	1																																2
9010117	9010117	2																																2
9010118	9010118	2																																2
9010119	9010119	2																																2
9010120	9010120	2																																2
9010121	9010121	3																																2
9010122	9010122	3																																2
9010123	9010123	3																																2
9010124	9010124	3																																2
9010125	9010125	1																																3
9010126	9010126	1																																3
9010127	9010127	1																																3
9010128	9010128	1																																3
9010129	9010129	2																																3
9010130	9010130	2																																3
9010131	9010131	2																																3
9010132	9010132	2																																3
9010133	9010133	3																																3
9010134	9010134	3																																3
9010135	9010135	3																																3
9010136	9010136	3																																3
9010201	9010201	1																																1
9010202	9010202	1																																1
9010203	9010203	1																																1
9010204	9010204	1																																1
9010205	9010205	2																																1
9010206	9010206	2																																1
9010207	9010207	2																																1
9010208	9010208	2																																1
9010209	9010209	3																																1
9010210	9010210	3																																1
9010211	9010211	3																																1
9010212	9010212	3																																1
9010213	9010213	1																																2
9010214	9010214	1																																2
9010215	9010215	1																																2
9010216	9010216	1																																2
9010217	9010217	2																																2
9010218	9010218	2																																2
9010219	9010219	2																																2
9010220	9010220	2																																2
9010221	9010221	3																																2
9010222	9010222	3																																2
9010223	9010223	3																																2
9010224	9010224	3																																2
9010225	9010225	1																																3
9010226	9010226	1																																3
9010227	9010227	1																																3
9010228	9010228	1																																3
9010229	9010229	2																																3
9010230	9010230	2																																3
9010231	9010231	2																																3
9010232	9010232	2																																3
9010233	9010233	3																																3
9010234	9010234	3																																3
9010235	9010235	3																																3
9010236	9010236	3																																3
9010301	9010301	1																																1
9010302	9010302	1																																1
9010303	9010303	1																																1
9010304	9010304	1																																1
9010305	9010305	2																																1
9010306	9010306	2																																1
9010307	9010307	2																																1
9010308	9010308	2																																1
9010309	9010309	3																																1
9010310	9010310	3																																1
9010311	9010311	3																																1
9010312	9010312	3																																1
9010313	9010313	1																																2
9010314	9010314	1																																2
9010315	9010315	1																																2
9010316	9010316	1																																2
9010317	9010317	2																																2
9010318	9010318	2																																2
9010319	9010319	2																																2
9010320	9010320	2																																2
9010321	9010321	3																																2
9010322	9010322	3																																2
9010323	9010323	3																																2
9010324	9010324	3																																2
9010325	9010325	1																																3
9010326	9010326	1																																3
9010327	9010327	1																																3
9010328	9010328	1																																3
9010329	9010329	2																																3
9010330	9010330	2																																3
9010331	9010331	2																																3
9010332	9010332	2																																3
9010333	9010333	3																																3
9010334	9010334	3																																3
9010335	9010335	3																																3
9010336	9010336	3																																3
9010401	9010401	1																																1
9010402	9010402	1																																1
9010403	9010403	1																																1
9010404	9010404	1																																1
9010405	9010405	2																																1
9010406	9010406	2																																1
9010407	9010407	2																																1
9010408	9010408	2																																1
9010409	9010409	3																																1
9010410	9010410	3																																1
9010411	9010411	3																																1
9010412	9010412	3																																1
9010413	9010413	1																																2
9010414	9010414	1																																2
9010415	9010415	1																																2
9010416	9010416	1																																2
9010417	9010417	2																																2
9010418	9010418	2																																2
9010419	9010419	2																																2
9010420	9010420	2																																2
9010421	9010421	3																																2
9010422	9010422	3																																2
9010423	9010423	3																																2
9010424	9010424	3																																2
9010425	9010425	1																																3
9010426	9010426	1																																3
9010427	9010427	1																																3
9010428	9010428	1																																3
9010429	9010429	2																																3
9010430	9010430	2																																3
9010431	9010431	2																																3
9010432	9010432	2																																3
9010433	9010433	3																																3
9010434	9010434	3																																3
9010435	9010435	3																																3
9010436	9010436	3																																3
